OBJECTID,SETTLEMENT,REG_NAME,DIST_NAME,X,Y,house_count,shape name
6229,Bar muumin dhoorow,Juba Dhexe,Saakow,42.37820053,1.850229978,605,SAKOW
6136,Kadaarow,Juba Dhexe,Saakow,42.44087816,1.608970781,441,SAKOW
6165,,Juba Dhexe,Saakow,42.57313156,1.713969946,328,SAKOW
6181,,Juba Dhexe,Saakow,42.2527504,1.759930015,256,SALAGLE
6224,Towsi,Juba Dhexe,Saakow,42.41040039,1.839969993,254,SAKOW
6135,,Juba Dhexe,Saakow,42.52777863,1.607720017,223,SAKOW
6164,Hedeey,Juba Dhexe,Saakow,42.52309036,1.702029944,213,SAKOW
6279,Gaaguure,Juba Dhexe,Saakow,42.26924133,1.944499969,187,SALAGLE
6144,Mus duniya,Juba Dhexe,Saakow,42.42742157,1.62255001,169,SAKOW
6254,,Juba Dhexe,Saakow,42.44166946,1.895920038,159,SAKOW
6139,,Juba Dhexe,Saakow,42.52729034,1.610829949,146,SAKOW
6174,,Juba Dhexe,Saakow,42.58961105,1.72894001,143,SAKOW
6261,Laama looshi,Juba Dhexe,Saakow,42.30344,1.90243,134,SALAGLE
6218,,Juba Dhexe,Saakow,42.33806992,1.829730034,129,SALAGLE
6167,Umbave humbawe,Juba Dhexe,Saakow,42.62770081,1.717499972,128,SAKOW
6251,Gasaaraley,Juba Dhexe,Saakow,42.46733093,1.892689943,127,SAKOW
6182,,Juba Dhexe,Saakow,42.38531876,1.764979959,117,SAKOW
6194,Soomow,Juba Dhexe,Saakow,42.5760498,1.799010038,113,SAKOW
6220,,Juba Dhexe,Saakow,42.29608154,1.835980058,110,SALAGLE
6264,Qotey,Juba Dhexe,Saakow,42.30552,1.90269,99,SALAGLE
6245,Guumarey,Juba Dhexe,Saakow,42.41716003,1.880450011,86,SAKOW
6217,Daggaras,Juba Dhexe,Saakow,42.38053894,1.827849984,79,SAKOW
6168,,Juba Dhexe,Saakow,42.29338074,1.717829943,74,SAKOW
6248,Baar saare,Juba Dhexe,Saakow,42.3457,1.88418,69,SALAGLE
6265,Bulo adey,Juba Dhexe,Saakow,42.34175,1.91444,68,SALAGLE
6193,,Juba Dhexe,Saakow,42.22322846,1.798030019,64,SALAGLE
6186,,Juba Dhexe,Saakow,42.37781906,1.784729957,61,SAKOW
6278,Baar dufle,Juba Dhexe,Saakow,42.34442,1.94331,61,SALAGLE
6206,,Juba Dhexe,Saakow,42.38550186,1.812530041,57,SAKOW
6215,Galooley,Juba Dhexe,Saakow,42.57114029,1.822790026,51,SAKOW
6171,,Juba Dhexe,Saakow,42.43048096,1.722010017,43,SAKOW
6161,,Juba Dhexe,Saakow,42.32369995,1.69291997,42,SAKOW
6241,,Juba Dhexe,Saakow,42.24541855,1.874199987,42,SALAGLE
6175,Batuuto,Juba Dhexe,Saakow,42.4083519,1.729279995,42,SAKOW
6274,Gobto,Juba Dhexe,Saakow,42.15726089,1.934659958,42,SALAGLE
6188,,Juba Dhexe,Saakow,42.37593079,1.790779948,38,SAKOW
6116,,Juba Dhexe,Saakow,42.2659111,1.537430048,35,SAKOW
6184,,Juba Dhexe,Saakow,42.38203049,1.78094995,34,SAKOW
6266,Shamba,Juba Dhexe,Saakow,42.28561,1.91479,34,SALAGLE
6213,,Juba Dhexe,Saakow,42.34770966,1.820309996,33,SALAGLE
6212,,Juba Dhexe,Saakow,42.32778168,1.819910049,22,SALAGLE
6118,,Juba Dhexe,Saakow,42.29912186,1.53749001,22,SAKOW
6114,,Juba Dhexe,Saakow,42.46258163,1.536960006,22,SAKOW
6163,,Juba Dhexe,Saakow,42.32128906,1.699100017,21,SAKOW
6275,Gasiile,Juba Dhexe,Saakow,42.30405045,1.935840011,21,SALAGLE
6272,Reydab,Juba Dhexe,Saakow,42.34832,1.930639991,20,SALAGLE
6201,,Juba Dhexe,Saakow,42.33229065,1.80656004,19,SALAGLE
6252,Waabo weyn,Juba Dhexe,Saakow,42.22259287,1.893422339,19,SALAGLE
6226,Xaar,Juba Dhexe,Saakow,42.26388931,1.842620015,18,SALAGLE
6145,,Juba Dhexe,Saakow,42.44083023,1.629999995,15,SAKOW
6154,,Juba Dhexe,Saakow,42.42667007,1.676800013,14,SAKOW
